art_id,ann,criteriaID,annotation
1,gpt4-o,ArtBias,2
1,gpt4-o,Type,1
1,gpt4-o,SensLang,3
1,gpt4-o,NegTarg2,['1']
1,gpt4-o,LedePres,1
1,gpt4-o,NegTarg1,1
1,gpt4-o,HeadAcc1,4
2,gpt4-o,ArtBias,2
2,gpt4-o,LedePres,1
2,gpt4-o,HeadAcc1,3
2,gpt4-o,NegTarg1,1
2,gpt4-o,Type,1
2,gpt4-o,NegTarg2,['4']
2,gpt4-o,SensLang,2
3,gpt4-o,HeadAcc1,4
3,gpt4-o,ArtBias,2
3,gpt4-o,NegTarg1,1
3,gpt4-o,NegTarg2,['4']
3,gpt4-o,Type,1
3,gpt4-o,SensLang,2
3,gpt4-o,LedePres,2
4,gpt4-o,ArtBias,3
4,gpt4-o,HeadAcc1,3
4,gpt4-o,LedePres,2
4,gpt4-o,NegTarg1,1
4,gpt4-o,Type,1
4,gpt4-o,NegTarg2,['4']
4,gpt4-o,SensLang,3
5,gpt4-o,LedePres,2
5,gpt4-o,NegTarg2,['-1']
5,gpt4-o,Type,1
5,gpt4-o,SensLang,2
5,gpt4-o,ArtBias,3
5,gpt4-o,NegTarg1,1
6,gpt4-o,HeadAcc1,3
6,gpt4-o,Type,1
6,gpt4-o,SensLang,4
6,gpt4-o,LedePres,1
6,gpt4-o,ArtBias,3
6,gpt4-o,NegTarg2,['1']
6,gpt4-o,NegTarg1,1
7,gpt4-o,NegTarg1,1
7,gpt4-o,SensLang,4
7,gpt4-o,ArtBias,4
7,gpt4-o,HeadAcc1,4
7,gpt4-o,LedePres,2
7,gpt4-o,Type,1
7,gpt4-o,NegTarg2,['4']
8,gpt4-o,SensLang,4
8,gpt4-o,LedePres,2
8,gpt4-o,NegTarg1,1
8,gpt4-o,NegTarg2,['4']
8,gpt4-o,Type,1
8,gpt4-o,HeadAcc1,4
8,gpt4-o,ArtBias,4
9,gpt4-o,Type,1
9,gpt4-o,NegTarg2,['1']
9,gpt4-o,SensLang,4
